"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.857149833E0,-5.957611084E-2,1.431024170E-1,9.785451050E0,9.786678694E0
2.867136833E0,-5.538482666E-2,1.474433899E-1,9.790241089E0,9.791507933E0
2.877124833E0,-5.972579956E-2,1.445993042E-1,9.790839844E0,9.792089714E0
2.887111833E0,-6.077362061E-2,1.413061523E-1,9.787995758E0,9.789204351E0
2.897098833E0,-5.777984619E-2,1.411564636E-1,9.794582062E0,9.795769568E0
2.907086833E0,-5.269042969E-2,1.372645569E-1,9.785001984E0,9.786106563E0
2.917073833E0,-5.912704468E-2,1.423539734E-1,9.790241089E0,9.791454501E0
2.927060833E0,-6.122268677E-2,1.375639343E-1,9.799970856E0,9.801127528E0
2.937048833E0,-6.286926270E-2,1.369651794E-1,9.787846069E0,9.789006215E0
2.947035833E0,-6.825805664E-2,1.501377869E-1,9.791588287E0,9.792977163E0
2.957022833E0,-5.942642212E-2,1.419049072E-1,9.797126770E0,9.798334626E0
2.967010833E0,-6.286926270E-2,1.356179810E-1,9.792336731E0,9.793477597E0
2.976997833E0,-6.032455444E-2,1.416055298E-1,9.789193268E0,9.790403261E0
2.986984833E0,-6.167175293E-2,1.407073975E-1,9.786648560E0,9.787854311E0
2.996972833E0,-5.209167480E-2,1.362167358E-1,9.788744202E0,9.789830519E0
3.006959833E0,-5.284011841E-2,1.369651794E-1,9.790390778E0,9.791491363E0
3.016946833E0,-6.571334839E-2,1.441502380E-1,9.793833618E0,9.795114827E0
3.026934833E0,-6.301895142E-2,1.353186035E-1,9.792785797E0,9.793923431E0
3.036921833E0,-6.316864014E-2,1.465452576E-1,9.780211945E0,9.781513762E0
3.046908833E0,-6.376739502E-2,1.378633118E-1,9.784103851E0,9.785282865E0
3.056896833E0,-5.209167480E-2,1.393601990E-1,9.792935486E0,9.794065562E0
3.066883833E0,-5.867797852E-2,1.393601990E-1,9.787397003E0,9.788564985E0
3.076870833E0,-5.792953491E-2,1.501377869E-1,9.793983307E0,9.795305314E0
3.086858833E0,-5.433700562E-2,1.372645569E-1,9.792486420E0,9.793599152E0
3.096845833E0,-6.436614990E-2,1.440005493E-1,9.795779572E0,9.797049381E0
3.106833833E0,-5.568420410E-2,1.374142456E-1,9.793384552E0,9.794506848E0
